question,choices,back,answer,Question_int
"If there is no listing contract in existence but the agent effects a sale of the principal's property at the request of the principal, the courts will:",not imply an undertaking to pay the agent remuneration.|imply a promise to pay the agent remuneration.|allow the agent to collect only their out of pocket expenses.|hold the agent liable for any default of the buyer.,"<p>Option (2) is correct because in the case where there is no listing contract but the agent effects a sale of the <br>seller’s property at the request of the seller, the courts can apply the principle of quantum meruit  to imply a <br>promise to pay a reasonable amount for the profession al services provided.  Option (1) is incorrect for the same <br>reason. Option (3) is incorrect because the courts will give a reasonable remuneration based on what the service <br>provided was worth, not just out of pocket expenses. Option (4) is incorrect because , even if there was a listing <br>contract between the agent and the principal in this case, the agent is working on behalf of the seller and so they <br>would not be held liable for the buyer’s default.  <br></p>",Correct Option: 2,427
"Suppose XYZ Ltd. is located in a building that was purchased two years ago for $1,000,000. The building has an economic life of 10 years with no salvage value. Annual depreciation is calculated using the straight-line method. If XYZ Ltd. earned a net income of $450,000 and claimed $38,400 of capital cost allowance in the second year, what is XYZ's taxable income at the end of Year 2?","$511,600|$488,400|$394,600|$387,400","<p>First, find the annual depreciation expense from the building. Then, to calculate the annual depreciation expense
using the straight-line method, take the cost of the building less any salvage value and divide the sum by the economic life.</p>
<p><b>Annual Depreciation Expense =</b>
  <span style=""display:inline-block;vertical-align:middle;text-align:center;line-height:1.2;"">
    <span style=""display:block;border-bottom:1px solid currentColor;padding:0 6px;white-space:nowrap;"">Cost - Salvage Value</span>
    <span style=""display:block;white-space:nowrap;"">Estimated Life (years)</span>
  </span>
</p>
<p>=
  <span style=""display:inline-block;vertical-align:middle;text-align:center;line-height:1.2;"">
    <span style=""display:block;border-bottom:1px solid currentColor;padding:0 6px;white-space:nowrap;"">$1,000,000</span>
    <span style=""display:block;white-space:nowrap;"">10</span>
  </span>
</p>
<p>= $100,000</p>

<p>Net income per financial statements</p>
<p>+ Depreciation expense</p>
<p>= Subtotal</p>
<p>- Capital cost allowance</p>
<p>= Taxable income</p>
<table style=""border-collapse:collapse;margin-top:6px;"">
  <tbody>
    <tr><td style=""border:none;padding:2px 0;"">$450,000</td></tr>
    <tr><td style=""border:none;padding:2px 0;"">+ 100,000</td></tr>
    <tr><td style=""border:none;padding:2px 0;"">= 550,000</td></tr>
    <tr><td style=""border:none;padding:2px 0;"">- 38,400</td></tr>
    <tr><td style=""border:none;padding:2px 0;"">= 511,600</td></tr>
  </tbody>
</table>
<p>XYZ Ltd.’s taxable income for this year is <b>$511,600</b>.</p>",Correct Option: 1,428
A licensee wants to add a new client to her electronic mailing list. Which of the following statements is FALSE?,"The client must be provided with an option to unsubscribe.|The licensee may not send email marketing materials without first obtaining consent from the new client.|If a client provides consent to being added to the mailing list, they cannot be removed from it within the following 12 months.|The licensee should ensure that the client's email address is up to date.","<p>Option (3) is false and is the correct answer. A client must provide consent when being added to a mailing list <br>[Option (2)], but even after consent is obtained, the sender must be provide d with a way to request to be <br>removed from the mailing list [Option (1)] and any such requests must be honoured immediately. Option (4) is <br>incorrect  because an email database needs to be maintained regularly and if the client’s correct email address is <br>not being used, then they will not receive the messages.</p>",Correct Option: 3,429
Which of the following options is a current asset on the balance sheet?,The owner's initial investment|Rent payable|Real property at its historic cost|Rent receivable,"<p>Option (4) is correct because r ent receivable is considered a current asset. A current asset is something that the <br>company owns, and will use up within the next year. Option (1) is incorrect because t he owner ’s initial <br>investment will be listed as owner ’s equity. Option (2) is incorrect because r ent payable will be listed as a <br>current liability. Option (3) is incorrect because r eal property will be recorded as a fixed or long -term  asset, and <br>will be recorded at its historic cost.</p>",Correct Option: 4,430
"Susan Seller discovered a secret arrangement between her agent and Bella Buyer where Susan's agent would give some of the commission payable by Susan to her agent directly to Bella. Based on this situation, which of the following statements is TRUE?","Because there was no detriment to Susan, the agent did not breach any duties owed to her.|The agent breached her duty to disclose material facts to Susan, but this does not amount to a breach of fiduciary duty.|The agent breached her fiduciary duty owed to Bella; therefore, the contract of purchase and sale between Susan and Bella is void.|The agent's non-disclosure is a breach of her fiduciary duty to Susan, and as a consequence, the agent may not be entitled to the commission claimed.","<p>Option (4) is correct because the agent’s duty of disclosure includes everything known to the licensee respecting <br>the transaction and is not limited to situations where there is a d etriment to the seller. Failure to make full <br>disclosure amounts to a breach of the fiduciary duty and where this duty is breached, the seller may not be <br>required to pay the licensee a commission on closing. Options (1) and (2) are incorrect for the same re ason. <br>Option (3) is incorrect because the agent is acting on behalf of the seller, and thus her fiduciary duty is to Susan, <br>not to Bella.  <br></p>",Correct Option: 4,431
Which of the following security measures would BEST prevent unauthorized internet users from accessing your computer when connected to the internet?,Firewalls|Passwords|Spam|Protecting hardware,"<p>Option (1) is correct because firewalls are hardware and software boundaries frequently used t o prevent <br>unauthorized users from accessing private computers or networks connected to the internet. All data <br>attempting to pass through the firewall is blocked unless it meets a certain criteria of author ization needed to <br>pass through.  Options (2), (3), a nd (4) are therefore incorrect.</p>",Correct Option: 1,432
"Under the British Columbia land title system, a mortgage is registered as a charge against the property of which the mortgagor is:",the first registered charge holder.|the last registered charge holder.|the registered owner.|not registered.,"<p>Option (3) is correct because under the Torrens system in place in British Columbia, all mortgages are registered as charges against the title and the title will continue to show the borrower (mortgagor) as the <br>registered owner, not as a charge holder.  Option (1), (2), and (4) are incorrect for the same reason.</p>",Correct Option: 3,433
Operating expenses for appraisal purposes include:,income taxes.|property taxes.|mortgage payments.|capital cost allowance.,"<p>Option (2) is correct because property taxes are an expense included in operating expenses for appraisal purposes. Options (1), (3), and (4) are incorrect because  income taxes, mortgage payments, and capital cost <br>allowance are not included in operating expenses.</p>",Correct Option: 2,434
"Given that all other factors are identical, the shorter the term of the contract on a bonused, partially amortized mortgage (where the bonus is paid by the borrower):",the lower the effective interest rate paid by the borrower.|the higher the effective interest rate paid by the borrower.|the higher the required monthly payment.|the lower the outstanding balance at the term's end.,"<p>Option (2) is correct because a ll things being equal, a shorter term on a bonused partially amortized loan will <br>result in a higher effective interest rate paid by the borrower. This is because the value of the bonus is paid off <br>over a shorter term, thus increasing the annual cost of borrowing. Options (1), (3), and (4) are incor rect.</p>",Correct Option: 2,435
Jason is creating a real estate blog to incorporate into his website. Which of the following guidelines should he follow in developing his blog?,"Jason should update his blog regularly.|The content of Jason's blog should generally focus on real estate-related information, such as market news, home maintenance tips, and information on frequently used forms and contracts.|Jason's blog should be used as a method of communicating interesting information to existing and potential clients.|All of the above","<p>Options (1), (2), and (3) are all guidelines that Jason should follow in establishing his real estate blog, therefore <br>Option (4) is the correct answer.</p>",Correct Option: 4,436
The British Columbia Financial Services Authority is NOT responsible for which one of the following?,Holding hearings to investigate the conduct of licensees|Determining the information required on a licence application|Enforcing the provisions of the applicable professional code of ethics|Providing for an educational program for licensees,"<p>Option (3) is correct because the British Columbia Real Estate Association , its member local real estate boards,  <br>and other professional associations are responsible for enforcing the provisions of the applicable professional codes of ethics, not the British Columbia Financial Services Authority  (BCFSA) . Options (1), (2), and (4) are <br>incorrect because they are all duties for which the BCFSA is responsible.</p>",Correct Option: 3,437
"As a western platform wood-frame house is being constructed, a polyethylene vapour barrier is used immediately under which of the following options?",Exterior brick veneer|Interior wood panelling on perimeter walls|Cedar shingles|Sub-floors,"<p>Option (2) is correct because a  polyethylene vapour barrier must be used immediately under the interior wood <br>panelling on the perim eter walls of a western platform wood -frame house in order to ensure proper function of <br>the vapour barrier. Options (1), (3), and (4) are incorrect because a polyethylene vapour barrier would not be used under those surfaces.  <br></p>",Correct Option: 2,438
"A mortgage is arranged on the following terms: Mortgage Face Value:  $170,000 Funds Advanced:  $163,500 Interest Rate:    j  = 6.5% 2 Amortization Period:  20 years Term:      20 years Payments:    Monthly, rounded up to the next higher dollar Calculate the rate of interest paid on funds advanced, expressed as an effective annual rate.",7.904213%|7.135321%|8.196945%|6.952145%,"<p>
 Calculate the payments and outstanding balance based on the face value of the mortgage of $170,000. The
 actual rate that the borrower earns, expressed as a
<math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""inline"">
       <msub>
         <mi>j</mi>
         <mn>1</mn>
       </msub>
     </math>
, is based on the actual funds advanced of $163,500.
</p>
<table border=""1"" cellpadding=""4"" cellspacing=""0"">
  <thead>
    <tr>
      <th>Press</th>
      <th>Display</th>
    </tr>
  </thead>
  <tbody>
    <tr><td>6. ■ NOM%</td><td style=""text-align:right"">6.5</td></tr>
    <tr><td>2 ■ P/YR</td><td style=""text-align:right"">2</td></tr>
    <tr><td>■ EFF%</td><td style=""text-align:right"">6.605625</td></tr>
    <tr><td>12 ■ P/YR</td><td style=""text-align:right"">12</td></tr>
    <tr><td>■ NOM%</td><td style=""text-align:right"">6.413688</td></tr>
    <tr><td>170000 PV</td><td style=""text-align:right"">170,000</td></tr>
    <tr><td>240 N</td><td style=""text-align:right"">240</td></tr>
    <tr><td>0 FV</td><td style=""text-align:right"">0</td></tr>
    <tr><td>PMT</td><td style=""text-align:right"">-1,258.850709</td></tr>
    <tr><td>1259 +/- PMT</td><td style=""text-align:right"">-1,259</td></tr>
    <tr><td>163500 PV</td><td style=""text-align:right"">163,500</td></tr>
    <tr><td>I/YR</td><td style=""text-align:right"">6.912084 (j<sub>12</sub>)</td></tr>
    <tr><td>■ EFF%</td><td style=""text-align:right"">7.135321 (j<sub>1</sub>)</td></tr>
  </tbody>
</table>

",Correct Option: 2,439
Anton holds a life estate pur autre vie based on Bentley's life. Charles has the remainder interest in fee simple. Anton's interest will terminate when:,Anton dies.|Bentley dies.|Charles dies.|all three men die.,"<p>Option (2) is correct because an estate pur autre vie ends when the person whose life upon which it is based <br>dies, in this case, Bentley. Option (1) is incorrect because Anton’s interest is dependent on Bentley’s life, not his <br>own. Option (3) is incorrect because Anton’s interest is not terminated when Charle s dies, rather, Charles (or his <br>heirs, if Charles dies before Bentley) will receive the interest that Anton currently holds once Bentley dies, <br>ending Anton’s interest. Option (4) is incorrect because only Bentley must die for Anton’s interest to end.</p>",Correct Option: 2,440
Which one of the following is NOT a material commonly used for water supply piping?,Plastic|Galvanized steel|Copper|Aluminium,"<p>Option (4) is correct and Options (1), (2), and (3) are incorrect because p lastic, galvanized steel, and copper are <br>common materials used in water supply piping, while aluminum is not.</p>",Correct Option: 4,441
Retained earnings on a company's financial statements is BEST defined as which of the following?,The company's profit for current year|The company's profit for the current year that was retained for future investment|The accumulated total of the company's profits (less losses) less dividends since incorporation|The accumulated profits since incorporation used for investing in fixed assets,"<p>Option (3) is correct because  retained earnings is the company ’s total accumulated profits less any dividends <br>paid since incorporation. Option (1) is incorrect because it refers to the net income as shown on the income <br>statement. Option (2)  is incorrect because it  represents the amoun t that the retained earnings will increase in a <br>given year if no dividends are paid. Option (4) is incorrect because it refers to how retained earnings may be <br>invested, but is not considered retained earnings.  <br></p>",Correct Option: 3,442
"An agreement for sale in the amount of $150,000 requires the buyer to make payments of $1,250 per month for as long as necessary to fully amortize the loan at 8% per annum, compounded semi-annually. How many FULL payments of $1,250 will be required?",236|237|242|243,"<table border='1' cellspacing='0' cellpadding='4'><thead><tr><th>Press</th><th>Display</th></tr></thead><tbody><tr><td>8 &#9632; NOM%</td><td style='text-align:right'>8</td></tr><tr><td>2 &#9632; P/YR</td><td style='text-align:right'>2</td></tr><tr><td>&#9632; EFF%</td><td style='text-align:right'>8.16</td></tr><tr><td>12 &#9632; P/YR</td><td style='text-align:right'>12</td></tr><tr><td>&#9632; NOM%</td><td style='text-align:right'>7.869836</td></tr><tr><td>150000 PV</td><td style='text-align:right'>150,000</td></tr><tr><td>1250 +/&minus; PMT</td><td style='text-align:right'>&minus;1,250</td></tr><tr><td>0 FV</td><td style='text-align:right'>0</td></tr><tr><td>N</td><td style='text-align:right'>236.566775</td></tr></tbody></table><p>There will be 236 full payments of &#36;1,250 and one smaller final payment.</p>",Correct Option: 1,443
"Velma has just accepted Patricia's written offer to purchase Velma's home, which contains the following clause: ""This offer is subject to the buyer selling her home at (address) by December 31"". Which one of the following statements is TRUE?","If Patricia cannot sell her home by December 31, there is no contract and Velma retains the deposit.|Patricia must complete even if she cannot sell her home.|Patricia may waive this requirement at any time before completion.|This requirement may be waived by Patricia on or before December 31.","<p>Option (4) is correct because the party benefiting from the subject clause (in this case, Patricia) may remove the <br>clause by declaring it fulfilled by written notice or by waiving it on or before the specified date for the <br>condition. Option (1) is incorrect because in a standard form contract of  purchase and sale, unless each <br>condition is waived or declared fulfilled, the Contract will be terminated and  the deposit would be returned <br>(i.e., Velma would not retain the deposit ). Option (2) is incorrect because the contract will be cancelled if Patri cia <br>does not fulfill the subject clause by selling her home and she does not waive it, so Patricia will not be forced to <br>complete. Option (3) is incorrect because Patricia must waive the requirement on or before the date specified in <br>the clause (December 3 1) rather than any time before completion.</p>",Correct Option: 4,444
Which of the following statements regarding the stress test borrower qualification rule for uninsured mortgages is TRUE?,The mortgage qualifying rate is always based on an additional 2% above the mortgage's negotiated contract rate.|The stress test mortgage qualifying rate is also known as the benchmark interest rate.|The British Columbia Financial Services Authority established the stress test requirements for all new mortgages from federally chartered institutions.|The stress test qualification rules only apply to mortgages from credit unions.,"<p>Option (2) is correct because it is true. Option (1) is incorrect because the mortgage qualifying rate is based on the greater of the government -specified qualifying rate ( j<br>2 = 5.25% as of June 2021) or an additional 2% above <br>the mortgage’s negotiated contract rate. Option (3) is incorrect because the Office of the Superintendent of Financial Institutions (OSFI) established the stress test requirements for all new mortgages from federa lly <br>chartered institutions. Option (4) is incorrect because the stress test qualification rules only apply to mortgages <br>from federally regulated financial institutions, which does not include credit unions.</p>",Correct Option: 2,445
"Duress, in law, consists of:","actual or threatened violence or imprisonment.|difficulty of performance.|undue influence.|a misrepresentation made knowingly or recklessly, not caring whether it be true or false.","<p>Option (1) is correct because common law duress occurs where a person is forced to enter into a contract <br>against his or her will by the threat of imprisonment either to himself or his family, or the threat of actual <br>physical violence. Option (2) is incorrect because difficulty of performance would arise after a contract was <br>entered into, whereas duress relates to the party being robbed of the free will to enter into the contract. Option <br>(3) is incorrect because undue influence is a separate concept from duress. Although it also rel ates to the loss of <br>free will to contract, it is as a result of a person in a superior or dominant position in relation to another using <br>their position to induce the other to enter a contract which he or she would not have otherwise made rather than as a r esult of a threat. Option (4) is incorrect because it describes negligent misrepresentation rather than <br>duress.  <br></p>",Correct Option: 1,446
"Josie Purchaser arranged a mortgage loan for $175,500 at 9.25% per annum, compounded semi-annually, with a 25-year amortization period and monthly payments. What is her interest cost for the first month?","$1,482.01|$1,183.30|$1,327.46|$154.55","<table border=""""1"""" cellpadding=""""4"""" cellspacing=""""0"""">
 <thead>
  <tr>
   <th>
    Press
   </th>
   <th>
    Display
   </th>
  </tr>
 </thead>
 <tbody>
  <tr>
   <td>
    9.25  ■ NOM% 
   </td>
   <td style=""""text-align:right"""">
   9.25
   </td>
  </tr>
  <tr>
   <td>
    2 ■ P/YR
   </td>
   <td style=""""text-align:right"""">
    2
   </td>
  </tr>
  <tr>
   <td>
    ■ EFF%
   </td>
   <td style=""""text-align:right"""">
    9.463906
   </td>
  </tr>
  <tr>
   <td>
    12 ■ P/YR
   </td>
   <td style=""""text-align:right"""">
    12
   </td>
  </tr>
  <tr>
   <td>
    ■ NOM%
   </td>
   <td style=""""text-align:right"""">
    9.076624
   </td>
  </tr>
  <tr>
   <td>
    175500 PV
   </td>
   <td style=""""text-align:right"""">
    175,500
   </td>
  </tr>
  <tr>
   <td>
    300 N
   </td>
   <td style=""""text-align:right"""">
    300
   </td>
  </tr>
  <tr>
   <td>
    0 FV
   </td>
   <td style=""""text-align:right"""">
    0
   </td>
  </tr>
  <tr>
   <td>
    PMT
   </td>
   <td style=""""text-align:right"""">
    −1,482.009161
   </td>
  </tr>
  <tr>
   <td>
    1482.01 +/ − PMT
   </td>
   <td style=""""text-align:right"""">
    −1,482.01
   </td>
  </tr>
  <tr>
   <td>
    1 INPUT ■ AMORT
   </td>
   <td style=""""text-align:right"""">
    PER 1 -1
   </td>
  </tr>
  <tr>
   <td>
    = =
   </td>
   <td style=""""text-align:right"""">
    −1,327.456197
   </td>
  </tr>
 </tbody>
</table>
<p>
 The interest cost for the first month is $1,327.46.
</p>

",Correct Option: 3,447
You have sold your property with the adjustment date on September 20. You had paid the taxes on July 2. The buyer should be responsible for that share of the tax bill from and including:,January 1-September 20.|September 20-December 31.|September 21-December 31.|July 2-December 31.,"<p>Option (2) is correct because where taxes have previously been paid by the seller, the buy er will reimburse them <br>for the portion of the year starting from and including the adjustment date, ( i.e., the portion of the year that <br>they have ownership of the property. ) In this case, this includes September 20 to December 31.  Options (1), (3), <br>and (4) are incorrect for this reason.</p>",Correct Option: 2,448
The cost approach of appraisal is NOT generally used to value:,airport hangars.|vacant lots.|condominiums.|single-family residences.,"<p>Option (2) is correct because t he cost approach of appraisal is generally used for unique properties that do not <br>have any comparable sales data, relying on a land value estimate from direct comparison,  then valuing  the <br>improvements on the land with the cost approach. Since vacant land has no improvements the cost approach <br>cannot be used on vacant land. Options (1), (3), and (4) could be valued using the cost approach in certain <br>circumstances.</p>",Correct Option: 2,449
"A gain or reward received by an agent from a third party in connection with their agency relationship with the principal, if it not disclosed to the principal, is known in agency law as:",a secret profit.|a taxable gain.|permitted third party remuneration.|a latent defect.,"<p>Option (1) is correct because a gain or reward received by an agent from a third party in connection with his or <br>her agency relationship with the principal, if not disclosed to the principal, is known as a secret profit. Options <br>(2), (3), and  (4) are incorrect for this reason.</p>",Correct Option: 1,450
An agent's authority can be created retroactively by their principal by an action called:,rectification.|ratification.|rescission.|revocation.,"<p>Option (2) is correct because an agent’s authority can be granted retroactively through ratification where an <br>agent enters into a contract on behalf of the principal that is beyond the agent’s authority, but the principal <br>later consents to be bound by the unauthorized acts of the agent. Option (1) is incorrect because rectification occurs when a court corrects an error made by the parties in a contract (or other document) in order to reflect <br>the parties’ true intentions. Options (3) and (4) are incorrect because rescission and revocation are concepts to <br>do with offer and acceptance in contract law rather than agency.  <br></p>",Correct Option: 2,451
Which of the following is NOT an essential requirement of a lease?,The name of the parties|A description of the premises being leased|The rent|The addresses and occupations of the parties,"<p>Option (4) is correct because it is not an essential term  of the lease (whether commercial or residential) to <br>include the occupations of the parties. Options (1), (2), and (3) are incorrect because the names of the parties, a <br>description of the premises leased, and the rent are all essential terms that should be included in the lease.</p>",Correct Option: 4,452
"Frank sends a letter to Joe saying, ""I will sell you 200 dozen widgets for $1,200."" Before Joe receives the letter, he sends an email to Frank offering to buy ""200 dozen widgets for $1,200."" Given this information, which of the following statements is TRUE?","Frank and Joe have formed a binding and enforceable contract.|Because the requirement of writing contained in section 59 of the Law and Equity Act has not been complied with, a contract has not been formed.|There has not been a valid offer and acceptance and therefore a contract has not been formed.|Both (2) and (3) are true.","<p>Option (3) is correct, because in order for a valid contract to be formed, there must be acceptance of an offer. In <br>this case, although both parties have made identical offers, neither offer has been accepted by the other party. <br>Joe has not accepted Frank’s offer because he did not have notice of the offer before sending the email to Frank; <br>rather, he has make a separate offer. Option (1) is incorrect for the same reason. Option (2) is incorrect because <br>section  59 of the Law and Equity Act  requires most contracts affecting land to be in writing, and since this is not <br>a contract respecting land, section 59 would not apply. Therefore, Option (4) is also incorrect.</p>",Correct Option: 3,453
The Law and Equity Act contains provisions for the unilateral waiver by a party of a condition precedent. Which one of the following is NOT one of the requirements?,"The condition precedent has been satisfied.|The condition precedent benefits only that party to the contract.|The contract is capable of being performed without fulfillment of the condition precedent.|Where a time is stipulated for fulfillment of the condition precedent, the waiver is made before the time stipulated.","<p>Option (1) is correct because satisfying the condition precedent is not a requirement for waiver under the Law <br>and Equity Act . Options (2), (3), and (4) are incorrect because section 54 of the Law and Equity Act  requires that, <br>in order to waive a condition  precedent, the condition precedent must benefit only the party waiving it, the <br>contract must be capable of being performed without fulfillment of the condition precedent, and the waiver <br>must be made before the time stipulated for the condition’s fulfillme nt (or within a rea sonable time if not <br>specified).</p>",Correct Option: 1,454
"Bernadette offers to purchase Steve's home for $438,000. However, before Steve has a chance to respond to the offer, Bernadette advises that she is withdrawing the offer. Which of the following legal terms describes what has occurred?",Revocation|Rectification|Rescission|None of the above,<p>Option (1) is corr ect because revocation refers to the cancellation of an offer communicated by the offeror to the <br>offeree prior to acceptance. Option (2) is incorrect because rectif ication occurs when a court corrects an error <br>made by the parties in the contract (or other document) in order to reflect the parties’ true intentions. Option (3) is incorrect because rescission refers to the cancellation of a contract.  Option (4) is incor rect because Option (1) <br>is correct.</p>,Correct Option: 1,455
"When borrowers increase their maximum allowable loan by accepting a shorter term and a lower interest rate, the borrowers have:","an increased degree of risk regarding changes in the interest rate over time.|the security of never having to incur another set of transaction costs (legal, appraisal) when arranging a new loan with another lender.|a decreased degree of risk regarding changes in the interest rate over time.|committed to paying more interest during the shorter term loan than the longer term loan.","<p>Option (1) is correct because i f borrower agrees  to a shorter term in order to increase the maximum allowable <br>loan, they are exposing themselves to greater risk of change in interest rates. The bor rower may have to <br>refinance the loan at a higher interest rate in the future, which may cause financial distress to the borrower. <br>Option (2) is incorrect because a a borrower, with a higher maximum allowable loan, may still opt to arrange a new loan with a nother lender in the future. Option (3) is incorrect because a loan with shorter term and  higher  <br>maximum allowable loan  would expose the borrower to a  greater risk of change in interest rates. Option (4) is <br>incorrect because the lower interest rate would m ean less interest is paid . <br></p>",Correct Option: 1,456
Which of the following statements regarding financial covenants of the mortgagor (borrower) is FALSE?,"The three main financial obligations of the borrower in addition to repayment of the loan amount include payment of property taxes, property insurance, and property maintenance.|Lenders always make the property tax payments for the borrower to ensure that the property taxes do not fall into arrears.|The mortgage loan agreement should contain a covenant by the borrower to insure the property against fire and other specified hazards to the full insurable value of the security.|The borrower should maintain the property in a manner that will preserve the value of the security in order to reduce the capital risk.","<p>Option (2) is false. Many, but not all lenders, will set up a separate tax account that the borrower will pay into <br>every periodic payment. This provides security to the lender that their mortgage is the highest priority charge, <br>as well as relieves the borr ower from having to make a lump sum payment for property taxes. This strategy <br>requires additional administration by the lender, so typically smaller or private lenders will leave the property <br>tax payments to the borrower. Option (1) is incorrect because bo rrowers have the obligation to include payment <br>of property taxes, insurance, and maintenance. Option (3) is incorrect because  there should be a covenant <br>included in the mortgage loan agreement to insure against fire and other hazards for the property . Opti on (4) is <br>incorrect because borrowers should be maintaining the property condition as to not reduce the value of the <br>property . This is necessary to reduce capital risk.</p>",Correct Option: 2,457
Mary and John own a piece of real property as joint tenants. Which of the following is TRUE?,"Mary cannot sell or mortgage her interest without John's consent.|Mary and John must each have an undivided interest in the whole of the property.|Because Mary and John are married, they were required by law to register their co-ownership as joint tenants.|All of the above","<p>Option (2) is correct because in a joint tenancy, each co -owner owns an undivided interest in the whole of the <br>estate. Option (1) is incorrect, because , Mary may still sell or mortgage her interest without John’s consent as a <br>joint tenant (although doing so will convert the co -ownership to a tenancy in common by severi ng the unity of <br>title ). Option (3) is incorrect because, although married people or people in close relationships often use joint <br>tenancies for tax planning purposes, there is no requirement for married couples who are co -owners of a <br>property to register a s joint tenants in, and they are free to co -own as tenants in common if they prefer to do so.</p>",Correct Option: 2,458
"With respect to commercial tenancies, the covenant of quiet enjoyment is BEST described as which of the following?",An implied covenant that the landlord will refrain and will cause others to refrain from making noise such that it would interfere with the conduct of the tenant's business|An assurance that the tenant will conduct their business in such a manner as to obey all noise bylaws|An assurance that all unfurnished premises be fit for human habitation|An assurance to the tenant against the consequences of a defective title involving the landlord or those lawfully claiming under the landlord,"<p>Option (4) is correct because quiet enjoyment is an assurance to the tenant against the consequences of a <br>defective title, i.e. , it assures  the tenant of the use and enjoyment of the premises for all usual purposes without <br>physical interference or unreasonable disturbance from the landlord.  Option (1) is incorrect because the <br>implied covenant of quiet enjoyment does not concern noise that interferes specifically with the tenant’s <br>business. Option (2) is incorrect because the implied covenant of quiet enjoyment is an implied promise given <br>by the landlord to the tenant, and does not restrict the tenant’s own conduct on the property. Option (3) is <br>incorrect because the implied covenant of quiet enjoyment does not con cern the premise’s fitness for <br>habitation.</p>",Correct Option: 4,459
Which of the following is NOT a reason why an investor would use borrowed funds instead of an all cash offer for a real estate investment?,Lack of adequate capital to make the desired investment|To release equity for home improvements|To reduce overall risk by using only part of the borrower's total funds for any one investment|To invest the borrowed funds at a lower rate of interest than the borrowing rate,"<p>Option (4) is the correct answer; an investor will only use borrowed funds if he or she is able to invest the borrowed  funds at a higher rate  (not a lower rate)  of interest than the borrowing rate. Options (1), (2), and (3) are <br>all reasons to use borrowed funds in a real estate investment.</p>",Correct Option: 4,460
Which of the following statements pertaining to British Columbia's Electronic Transactions Act is TRUE?,"An offer or acceptance communicated through electronic means is never legally binding.|Listing agreements are not covered by the Electronic Transactions Act.|Documents that create an interest in land and require registration to be effective against third parties are covered by the Electronic Transactions Act.|When a British Columbia statute references a written document, it does not exclude electronic documents merely because they are in electronic form.","<p>Option (4) is true and is the correct answer: when a BC statute makes references to “written” documents or signatures, it will not exclude electronic documents and signatures merely because they are in electronic form. <br>Option (1) is false because a legally binding contract may be formed by an offer or acceptance communicated <br>through electronic means, but only if the parties so intend. Option (2) is false because certain documents that <br>relate to land or land transactions, including listing agreements, are covered by the Act. Option (3) is false <br>because documents that create or transfer interest in land and that require registration to be effective against <br>third parties are specifically excluded from the Act.  <br></p>",Correct Option: 4,461
"A purchaser has just agreed to a below-market vendor-supplied mortgage with a developer. The $384,000 mortgage is set at an interest rate of j = 1.95%, with monthly payments over a 30-year amortization and a 2 3-year term. If the developer sells the 3-year term loan immediately to a mortgage investor for $350,000, what is the mortgage investor's yield, expressed as an effective annual rate (j )? 1",5.152415%|5.695532%|4.958129%|5.385054%,"<p>
The first step to solving this problem is to find the monthly payments and the outstanding balance owing at
the end of the 3-year term.
</p>

<table border=""1"" cellpadding=""4"" cellspacing=""0"">
  <thead>
    <tr><th>Press</th><th>Display</th></tr>
  </thead>
  <tbody>
    <tr><td>1.95 ■ NOM%</td><td style=""text-align:right"">1.95</td></tr>
    <tr><td>2 ■ P/YR</td><td style=""text-align:right"">2</td></tr>
    <tr><td>■ EFF%</td><td style=""text-align:right"">1.959506</td></tr>
    <tr><td>12 ■ P/YR</td><td style=""text-align:right"">12</td></tr>
    <tr><td>■ NOM%</td><td style=""text-align:right"">1.942125</td></tr>
    <tr><td>384000 PV</td><td style=""text-align:right"">384,000</td></tr>
    <tr><td>30 × 12 = N</td><td style=""text-align:right"">360</td></tr>
    <tr><td>0 FV</td><td style=""text-align:right"">0</td></tr>
    <tr><td>PMT</td><td style=""text-align:right"">-1,408.25106</td></tr>
    <tr><td>1408.25 +/- PMT</td><td style=""text-align:right"">-1,408.25</td></tr>
    <tr><td>36 INPUT ■ AMORT</td><td style=""text-align:right"">PER 36-36</td></tr>
    <tr><td>= = =</td><td style=""text-align:right"">354,859.164285</td></tr>
    <tr><td>354859.16 +/- FV</td><td style=""text-align:right"">-354,859.16</td></tr>
  </tbody>
</table>

<p>
The investor is paying <b>$350,000</b> for the right to receive the monthly payments of <b>$1,408.25</b> for 3 years and
receives the outstanding balance of <b>$354,859.16</b> at the end of the 3-year term.
In order to determine the investor’s rate of return expressed as an annual rate, compounded annually,
the calculator steps continue as follows:
</p>

<table border=""1"" cellpadding=""4"" cellspacing=""0"">
  <thead>
    <tr><th>Press</th><th>Display</th></tr>
  </thead>
  <tbody>
    <tr><td>350000 PV</td><td style=""text-align:right"">350,000</td></tr>
    <tr><td>36 N</td><td style=""text-align:right"">36</td></tr>
    <tr><td>I/YR</td><td style=""text-align:right"">5.256543</td></tr>
    <tr><td>■ EFF%</td><td style=""text-align:right"">5.385054</td></tr>
  </tbody>
</table>

",Correct Option: 4,462
